--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
246.785  000.348  000.348: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/plugin/editorconfig.lua
246.823  000.866  000.519: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
247.639  000.354  000.354: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/plugin/man.lua
247.674  000.832  000.478: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
248.540  000.382  000.382: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/plugin/net.lua
248.577  000.881  000.499: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
249.394  000.328  000.328: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/plugin/osc52.lua
249.429  000.832  000.504: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
250.818  000.882  000.882: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/plugin/rplugin.vim
250.847  001.395  000.513: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
251.788  000.416  000.416: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/plugin/shada.lua
251.826  000.953  000.537: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
252.647  000.312  000.312: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/plugin/spellfile.lua
252.681  000.834  000.522: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
253.938  000.977  000.977: require('krs.core.installer')
254.156  189.628  123.389: require('lazy_init')
254.178  203.692  000.265: sourcing C:\Users\Kristan\AppData\Local\nvim\init.lua
254.242  003.361: sourcing vimrc file(s)
257.413  000.266  000.266: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share\nvim\runtime\filetype.lua
259.152  000.144  000.144: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share\nvim\runtime\syntax\synload.vim
259.333  001.127  000.983: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/syntax/syntax.vim
259.371  003.736: inits 3
261.673  002.301: reading ShaDa
261.942  000.269: opening buffers
262.537  000.010  000.010: sourcing nvim_exec2() called at BufEnter Autocommands for "*":0
262.604  000.005  000.005: sourcing nvim_exec2() called at BufEnter Autocommands for "*":0
264.465  000.480  000.480: require('bufferline.state')
264.689  002.252: BufEnter autocommands
264.697  000.007: editing files in windows
264.705  000.008: --- NVIM STARTED ---

