--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
294.870  000.519  000.519: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\colors\nagatoro-krs.lua:0
295.345  001.377  000.858: sourcing C:\Users\Kristan\AppData\Local\nvim\colors\nagatoro-krs.lua
295.529  000.040  000.040: sourcing nvim_exec2() called at ColorScheme Autocommands for "*":0
301.825  000.012  000.012: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
301.899  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
305.049  000.012  000.012: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
305.120  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
307.759  000.012  000.012: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
307.822  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
312.408  000.010  000.010: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
312.462  000.005  000.005: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
312.680  000.013  000.013: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
312.698  000.009  000.009: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
312.712  000.008  000.008: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
312.727  000.008  000.008: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
312.741  000.009  000.009: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
312.818  000.013  000.013: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
315.011  000.009  000.009: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
315.059  000.004  000.004: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
318.774  003.704  003.704: require('alpha')
319.290  000.496  000.496: require('alpha.themes.dashboard')
